line_number,title,label,speaker,gender,year,score,word
13217,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,person
13218,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,met
13218,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,killed
13219,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,kill
13222,Pulp Fiction,speech,BUTCH,male,1994,8.9,cigarettes
13223,Pulp Fiction,speech,BUTCH,male,1994,8.9,answer
13226,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,deal
13237,Pulp Fiction,speech,BUTCH,male,1994,8.9,villalobos
13238,Pulp Fiction,speech,BUTCH,male,1994,8.9,mexican
13240,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,spanish
13241,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,columbian
13243,Pulp Fiction,speech,BUTCH,male,1994,8.9,pretty
13245,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,wolves
13247,Pulp Fiction,speech,BUTCH,male,1994,8.9,hell
13248,Pulp Fiction,speech,BUTCH,male,1994,8.9,sister
13256,Pulp Fiction,speech,BUTCH,male,1994,8.9,american
13256,Pulp Fiction,speech,BUTCH,male,1994,8.9,names
13257,Pulp Fiction,speech,BUTCH,male,1994,8.9,moving
13260,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,feels
13261,Pulp Fiction,speech,ESMARELDA,female,1994,8.9,kill
13264,Pulp Fiction,speech,BUTCH,male,1994,8.9,dead
13264,Pulp Fiction,speech,BUTCH,male,1994,8.9,til
13264,Pulp Fiction,speech,BUTCH,male,1994,8.9,told
13265,Pulp Fiction,speech,BUTCH,male,1994,8.9,dead
13265,Pulp Fiction,speech,BUTCH,male,1994,8.9,dead
13266,Pulp Fiction,speech,BUTCH,male,1994,8.9,feel
13269,Pulp Fiction,speech,BUTCH,male,1994,8.9,feel
13269,Pulp Fiction,speech,BUTCH,male,1994,8.9,bit
13270,Pulp Fiction,speech,BUTCH,male,1994,8.9,bad
13275,Pulp Fiction,speech,BUTCH,male,1994,8.9,what'd
13275,Pulp Fiction,speech,BUTCH,male,1994,8.9,word
13276,Pulp Fiction,speech,BUTCH,male,1994,8.9,fix
13276,Pulp Fiction,speech,BUTCH,male,1994,8.9,odds
13277,Pulp Fiction,speech,BUTCH,male,1994,8.9,outta
13277,Pulp Fiction,speech,BUTCH,male,1994,8.9,control
13278,Pulp Fiction,speech,BUTCH,male,1994,8.9,fighter
13278,Pulp Fiction,speech,BUTCH,male,1994,8.9,alive
13279,Pulp Fiction,speech,BUTCH,male,1994,8.9,laced
13279,Pulp Fiction,speech,BUTCH,male,1994,8.9,gloves
13280,Pulp Fiction,speech,BUTCH,male,1994,8.9,shoulda
