line_number,title,script,label,speaker,gender
20791,Fight Club,"Jack's TAXI halts.  Marla walks out of the lobby doors, sees",other,NO SPEAKER,NA
20792,Fight Club,"Jack getting out of the cab, laden with files...",other,NO SPEAKER,NA
20793,Fight Club,JACK,character,NO SPEAKER,NA
20794,Fight Club,Marla!,speech,JACK,male
20795,Fight Club,"Marla makes a sharp turn, walking away.  Jack follows,",other,NO SPEAKER,NA
20796,Fight Club,"hugging the files to his chest, catching up.",other,NO SPEAKER,NA
20797,Fight Club,JACK,character,NO SPEAKER,NA
20798,Fight Club,Marla...,speech,JACK,male
20799,Fight Club,MARLA,character,NO SPEAKER,NA
20800,Fight Club,"Your whacked-out, bald freaks hit me",speech,MARLA,female
20801,Fight Club,with a fucking broom.  I thought they,speech,MARLA,female
20802,Fight Club,were going to break my arm.,speech,MARLA,female
20803,Fight Club,JACK,character,NO SPEAKER,NA
20804,Fight Club,"I'm sorry, I...",speech,JACK,male
20805,Fight Club,MARLA,character,NO SPEAKER,NA
20806,Fight Club,The were burning their fingertips,speech,MARLA,female
20807,Fight Club,with lye.  The stink was unbelievable.,speech,MARLA,female
20808,Fight Club,JACK,character,NO SPEAKER,NA
20809,Fight Club,Marla... I need to talk to you.  It's,speech,JACK,male
20810,Fight Club,going to take a tremendous act of,speech,JACK,male
20811,Fight Club,faith on your part for you to hear me,speech,JACK,male
20812,Fight Club,out.,speech,JACK,male
20813,Fight Club,MARLA,character,NO SPEAKER,NA
20814,Fight Club,Here comes an avalanche of bullshit.,speech,MARLA,female
20815,Fight Club,Marla heads into a DINER.  Jack follows...,other,NO SPEAKER,NA
20816,Fight Club,JACK,character,NO SPEAKER,NA
20817,Fight Club,-- A little more faith than that.,speech,JACK,male
20818,Fight Club,INT. DINER - MOMENTS LATER,other,NO SPEAKER,NA
20819,Fight Club,Marla sits in a BOOTH.  Jack sits across from her.,other,NO SPEAKER,NA
20820,Fight Club,MARLA,character,NO SPEAKER,NA
20821,Fight Club,I don't want to hear anything you've,speech,MARLA,female
20822,Fight Club,got to say.,speech,MARLA,female
20823,Fight Club,JACK,character,NO SPEAKER,NA
20824,Fight Club,"Give me a minute, Marla, alright...",speech,JACK,male
20825,Fight Club,just sixty seconds.,speech,JACK,male
20826,Fight Club,MARLA,character,NO SPEAKER,NA
20827,Fight Club,"Sixty seconds, then I'm out of here.",speech,MARLA,female
20828,Fight Club,JACK,character,NO SPEAKER,NA
20829,Fight Club,"Absolutely, you have every right.  I",speech,JACK,male
20830,Fight Club,need you to do me a favor.,speech,JACK,male
20831,Fight Club,MARLA,character,NO SPEAKER,NA
20832,Fight Club,I've done you enough favors.,speech,MARLA,female
20833,Fight Club,A WAITER with a BLACK EYE appears at the table.,other,NO SPEAKER,NA
20834,Fight Club,WAITER,character,NO SPEAKER,NA
20835,Fight Club,Sir!  Anything you order is free of,speech,WAITER,male
20836,Fight Club,"charge, sir.",speech,WAITER,male
20837,Fight Club,MARLA,character,NO SPEAKER,NA
20838,Fight Club,Why is it free of charge?,speech,MARLA,female
20839,Fight Club,JACK,character,NO SPEAKER,NA
20840,Fight Club,Because... I'm Tyler Durden.,speech,JACK,male
20841,Fight Club,MARLA,character,NO SPEAKER,NA
20842,Fight Club,"Then, I'll have the clam chowder...",speech,MARLA,female
20843,Fight Club,fried chicken and a baked potato with,speech,MARLA,female
20844,Fight Club,everything and a chocolate chiffon,speech,MARLA,female
20845,Fight Club,pie.,speech,MARLA,female
20846,Fight Club,Jack look to the pass-through WINDOW into the kitchen where,other,NO SPEAKER,NA
20847,Fight Club,THREE COOKS look out with STITCHES in their faces.,other,NO SPEAKER,NA
20848,Fight Club,JACK,character,NO SPEAKER,NA
20849,Fight Club,"Clean food, please.",speech,JACK,male
20850,Fight Club,WAITER,character,NO SPEAKER,NA
20851,Fight Club,"In that case, sir, may I advise",speech,WAITER,male
20852,Fight Club,against the lady eating the clam,speech,WAITER,male
20853,Fight Club,chowder?,speech,WAITER,male
20854,Fight Club,JACK,character,NO SPEAKER,NA
20855,Fight Club,"Thanks, no clam chowder.  That's it.",speech,JACK,male
20856,Fight Club,The waiter snaps to attention and leaves.,other,NO SPEAKER,NA
20857,Fight Club,MARLA,character,NO SPEAKER,NA
20858,Fight Club,You got about thirty seconds.,speech,MARLA,female
20859,Fight Club,JACK,character,NO SPEAKER,NA
20860,Fight Club,(takes a deep breath),other,NO SPEAKER,NA
20861,Fight Club,I know that I've been... unwell.  I,speech,JACK,male
20862,Fight Club,know it's been like there's two sides,speech,JACK,male
20863,Fight Club,to me.,speech,JACK,male
20864,Fight Club,MARLA,character,NO SPEAKER,NA
20865,Fight Club,Two sides?  You're Dr. Jeckle and Mr.,speech,MARLA,female
20866,Fight Club,Jackass.,speech,MARLA,female
20867,Fight Club,JACK,character,NO SPEAKER,NA
20868,Fight Club,"I deserve that.  Anyway, I've... I've",speech,JACK,male
20869,Fight Club,only just realized,speech,JACK,male
20870,Fight Club,MARLA,character,NO SPEAKER,NA
20871,Fight Club,What?,speech,MARLA,female
20872,Fight Club,JACK,character,NO SPEAKER,NA
20873,Fight Club,"I mean, the depth and breadth of our",speech,JACK,male
20874,Fight Club,relationship has only recently been,speech,JACK,male
20875,Fight Club,illuminated for me.  I know this...,speech,JACK,male
20876,Fight Club,I know us hasn't been such a great,speech,JACK,male
20877,Fight Club,thing for you...,speech,JACK,male
20878,Fight Club,MARLA,character,NO SPEAKER,NA
20879,Fight Club,Whatever.,speech,MARLA,female
20880,Fight Club,(to waiter),other,NO SPEAKER,NA
20881,Fight Club,I'll take my food to go...,speech,MARLA,female
20882,Fight Club,"Marla's getting up to go, but Jack rises, fed up, takes her",other,NO SPEAKER,NA
20883,Fight Club,"by the arm, putting her back in her seat.",other,NO SPEAKER,NA
20884,Fight Club,JACK,character,NO SPEAKER,NA
20885,Fight Club,Sit down!  Sit down and give me my,speech,JACK,male
20886,Fight Club,last fifteen seconds without opening,speech,JACK,male
20887,Fight Club,your mouth!,speech,JACK,male
20888,Fight Club,Marla crosses her arms.  Jack collects himself.,other,NO SPEAKER,NA
20889,Fight Club,JACK,character,NO SPEAKER,NA
20890,Fight Club,I'm trying to tell you -- and this is,speech,JACK,male
20891,Fight Club,"where you have to trust me -- but, I",speech,JACK,male
20892,Fight Club,think your life might be in real,speech,JACK,male
20893,Fight Club,danger.,speech,JACK,male
20894,Fight Club,MARLA,character,NO SPEAKER,NA
20895,Fight Club,What?,speech,MARLA,female
20896,Fight Club,JACK,character,NO SPEAKER,NA
20897,Fight Club,You have to get out of here.  Leave,speech,JACK,male
20898,Fight Club,as soon as possible.  Go to any rural,speech,JACK,male
20899,Fight Club,"town, away from any major city...",speech,JACK,male
20900,Fight Club,MARLA,character,NO SPEAKER,NA
20901,Fight Club,You are an insane person.,speech,MARLA,female
20902,Fight Club,JACK,character,NO SPEAKER,NA
20903,Fight Club,Marla...,speech,JACK,male
20904,Fight Club,MARLA,character,NO SPEAKER,NA
20905,Fight Club,"No, no, shut up!  I've had enough.",speech,MARLA,female
20906,Fight Club,"I tried, Tyler... I have tried...",speech,MARLA,female
20907,Fight Club,"Marla's getting upset, tears coming to her eyes.",other,NO SPEAKER,NA
20908,Fight Club,MARLA,character,NO SPEAKER,NA
20909,Fight Club,"There's a part of you I really like,",speech,MARLA,female
20910,Fight Club,but I can't do this anymore.  I just,speech,MARLA,female
20911,Fight Club,can't.  This is killing me...,speech,MARLA,female
20912,Fight Club,JACK,character,NO SPEAKER,NA
20913,Fight Club,"I'm sorry, but I...",speech,JACK,male
20914,Fight Club,MARLA,character,NO SPEAKER,NA
20915,Fight Club,What?!  You're sorry?  I don't,speech,MARLA,female
20916,Fight Club,believe that for a minute.,speech,MARLA,female
20917,Fight Club,"Marla gets up.  Jack grabs for her, but she's gone, heading",other,NO SPEAKER,NA
20918,Fight Club,"for the door.  Jack gathers his files, runs to follow...",other,NO SPEAKER,NA
20919,Fight Club,EXT. DINER - MOMESTS LATER,other,NO SPEAKER,NA
20920,Fight Club,"Jack pushes out the door, files under one arm, catching up...",other,NO SPEAKER,NA
20921,Fight Club,JACK,character,NO SPEAKER,NA
20922,Fight Club,I can't explain.  You wouldn't,speech,JACK,male
20923,Fight Club,believe me anyway.  I'm trying to,speech,JACK,male
20924,Fight Club,protect you...,speech,JACK,male
20925,Fight Club,"Jack grabs her arm, tries to hail a TAXI, but the taxi races",other,NO SPEAKER,NA
20926,Fight Club,"past.  Marla pulls free, screaming at him...,",other,NO SPEAKER,NA
20927,Fight Club,MARLA,character,NO SPEAKER,NA
